Epoch,Step,Loss
0,0,2.329517126083374
0,100,0.4060637354850769
0,200,0.03807031363248825
0,300,0.06259121000766754
0,400,0.03552982211112976
0,500,0.008081158623099327
0,600,0.008752687834203243
0,700,0.1206468939781189
0,800,0.021013638004660606
0,900,0.03919912874698639
0,1000,0.0014762314967811108
0,1100,0.012717174366116524
0,1200,0.24498185515403748
0,1300,0.03590405732393265
0,1400,0.006970417220145464
0,1500,0.005890843458473682
0,1600,0.0008258576272055507
0,1700,0.0968199223279953
0,1800,0.004373293370008469
1,0,0.0012231199070811272
1,100,0.004750129301100969
1,200,0.0683942437171936
1,300,0.005185236223042011
1,400,0.0019435042049735785
1,500,0.0018760764505714178
1,600,0.11421369761228561
1,700,0.10766050219535828
1,800,0.18347832560539246
1,900,0.005010573659092188
1,1000,0.022533543407917023
1,1100,0.013874821364879608
1,1200,0.36307936906814575
1,1300,0.0007574908086098731
1,1400,0.08304090797901154
1,1500,0.0052455151453614235
1,1600,0.044093094766139984
1,1700,0.011665484867990017
1,1800,0.03646319732069969
2,0,0.0002741191419772804
2,100,0.0002552162331994623
2,200,0.004317227751016617
2,300,0.011850198730826378
2,400,0.02652239054441452
2,500,0.0012571465922519565
2,600,0.032270397990942
2,700,0.008687613531947136
2,800,0.0021652537398040295
2,900,0.07015954703092575
2,1000,0.00048140063881874084
2,1100,0.00981905497610569
2,1200,4.236142194713466e-05
2,1300,0.0009517014841549098
2,1400,0.02898509055376053
2,1500,0.18607069551944733
2,1600,0.036509230732917786
2,1700,0.050932176411151886
2,1800,0.013395179994404316
3,0,0.0011848275316879153
3,100,0.1330244243144989
3,200,0.15932364761829376
3,300,0.00021308849682100117
3,400,0.0005202958709560335
3,500,0.004887377843260765
3,600,0.07373146712779999
3,700,0.0014092777855694294
3,800,0.01224200427532196
3,900,0.010005353949964046
3,1000,0.003997494466602802
3,1100,0.02182758040726185
3,1200,0.004549024160951376
3,1300,0.0260121151804924
3,1400,0.008902993984520435
3,1500,0.015063977800309658
3,1600,0.07367505133152008
3,1700,0.22805066406726837
3,1800,0.02593091130256653
4,0,0.00042081967694684863
4,100,0.010180052369832993
4,200,0.0005819484940730035
4,300,0.05062517896294594
4,400,0.1026933342218399
4,500,0.06501428782939911
4,600,7.599301170557737e-05
4,700,1.959374640136957e-05
4,800,0.002180984942242503
4,900,0.061804160475730896
4,1000,0.08325850963592529
4,1100,0.005058354698121548
4,1200,0.00031591454171575606
4,1300,0.004481701646000147
4,1400,1.040437837218633e-05
4,1500,0.014165830798447132
4,1600,0.00018255211762152612
4,1700,0.0019610312301665545
4,1800,0.06177803501486778
5,0,0.0014889347366988659
5,100,0.008905686438083649
5,200,4.5844222768209875e-05
5,300,2.0290055545046926e-05
5,400,0.011151604354381561
5,500,0.004316685721278191
5,600,0.007221594452857971
5,700,0.000760573660954833
5,800,0.12182120233774185
5,900,0.01085908617824316
5,1000,0.0026477635838091373
5,1100,0.0011826894478872418
5,1200,0.0018539110897108912
5,1300,5.6774304539430887e-05
5,1400,0.0007156298961490393
5,1500,0.058289796113967896
5,1600,0.0007177928346209228
5,1700,0.0032238513231277466
5,1800,0.05390414968132973
6,0,0.002492606407031417
6,100,0.0017459657974541187
6,200,9.005113679450005e-05
6,300,0.0013177861692383885
6,400,0.0004615605575963855
6,500,0.00010650405602063984
6,600,0.0056203496642410755
6,700,0.00013657026283908635
6,800,0.005822650156915188
6,900,0.0034365090541541576
6,1000,0.015804488211870193
6,1100,7.832198753021657e-05
6,1200,0.105091892182827
6,1300,0.004396291449666023
6,1400,0.12026152014732361
6,1500,0.0006720005767419934
6,1600,0.0030738331843167543
6,1700,0.0004710197099484503
6,1800,0.005112410988658667
7,0,0.016971124336123466
7,100,4.015812010038644e-06
7,200,0.0005951608764007688
7,300,0.00010341580491513014
7,400,0.0002545090392231941
7,500,0.0031878252048045397
7,600,0.007045553997159004
7,700,0.00010826141806319356
7,800,0.03962883725762367
7,900,0.02369794435799122
7,1000,0.010126132518053055
7,1100,0.17075806856155396
7,1200,0.0002789483405649662
7,1300,3.7106954550836235e-05
7,1400,0.08599141985177994
7,1500,0.001738437102176249
7,1600,0.033337004482746124
7,1700,6.46286525807227e-06
7,1800,0.0012443873565644026
8,0,0.00016667773888912052
8,100,0.0005574480164796114
8,200,3.2963103876682e-05
8,300,0.0023626741021871567
8,400,8.478772360831499e-05
8,500,0.034979309886693954
8,600,0.00022374166292138398
8,700,0.01073931623250246
8,800,0.006522333715111017
8,900,2.0556748495437205e-05
8,1000,0.004881550557911396
8,1100,1.9987755877082236e-05
8,1200,0.0005552792572416365
8,1300,8.977899028650427e-07
8,1400,8.303394679387566e-06
8,1500,0.00019635191711131483
8,1600,0.027397993952035904
8,1700,0.060075096786022186
8,1800,0.0003357753448653966
9,0,0.130355566740036
9,100,3.6128374631516635e-05
9,200,0.0009583340142853558
9,300,0.0001214969452121295
9,400,2.6274006813764572e-05
9,500,0.011687375605106354
9,600,0.04644828662276268
9,700,0.0873057022690773
9,800,0.0015477832639589906
9,900,5.633482214761898e-05
9,1000,0.0026044247206300497
9,1100,0.004880804102867842
9,1200,0.11572088301181793
9,1300,3.9508508052676916e-05
9,1400,0.005421693902462721
9,1500,0.00139762950129807
9,1600,0.00010509320418350399
9,1700,0.0016684697475284338
9,1800,2.5890285542118363e-06
